ID,cement,slag,flyash,water,superplasticizer,coarseaggregate,fineaggregate,age,csMPa
68,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,100,47.74
69,290.2,193.5,0.0,185.7,0.0,998.2,704.3,7,21.86
70,228.0,342.1,0.0,185.7,0.0,955.8,674.3,7,21.92
71,200.0,133.0,0.0,192.0,0.0,965.4,806.2,7,17.17
72,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,100,43.58
73,359.0,19.0,141.0,154.0,10.9,942.0,801.0,7,35.75
74,192.0,288.0,0.0,192.0,0.0,929.8,716.1,28,39.32
75,194.7,0.0,100.5,170.2,7.5,998.0,901.8,3,12.18
76,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,28,67.31
77,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7,33.21
78,192.0,288.0,0.0,192.0,0.0,929.8,716.1,7,21.48
79,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,270,67.11
80,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,90,37.91
81,249.1,0.0,98.8,158.1,12.8,987.8,889.0,14,28.68
82,296.0,0.0,106.7,221.4,10.5,819.2,778.4,28,31.42
83,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
84,192.0,288.0,0.0,192.0,0.0,929.8,716.1,90,50.73
85,323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,74.7
86,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06
87,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,100,40.39
88,237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25
89,238.1,0.0,94.1,186.7,7.0,949.9,847.0,100,44.3
90,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,14,36.94
91,339.2,0.0,0.0,185.7,0.0,1069.2,754.3,7,21.18
92,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,3,11.85
93,140.0,164.0,128.0,237.0,6.0,869.0,656.0,28,35.23
94,237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41
95,148.1,0.0,136.6,158.1,16.1,1001.8,830.1,28,17.96
96,225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28,17.34
97,290.4,0.0,96.2,168.1,9.4,961.2,865.0,3,22.5
98,275.0,180.0,120.0,162.0,10.4,830.0,765.0,28,76.24
99,190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69
100,387.0,20.0,94.0,157.0,13.9,938.0,845.0,3,25.51
101,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,120,39.38
102,190.7,0.0,125.4,162.1,7.8,1090.0,804.0,28,26.4
103,310.0,143.0,111.0,168.0,22.0,914.0,651.0,28,33.69
104,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,28,29.65
105,296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28,21.65
106,154.0,174.0,185.0,228.0,7.0,845.0,612.0,28,24.34
107,337.9,189.0,0.0,174.9,9.5,944.7,755.8,3,24.1
108,313.0,145.0,0.0,178.0,8.0,1002.0,689.0,28,41.05
109,213.7,0.0,174.7,154.8,10.2,1053.5,776.4,56,46.64
110,342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46
111,313.0,161.0,0.0,178.0,10.0,917.0,759.0,28,52.44
112,250.0,0.0,95.7,187.4,5.5,956.9,861.2,3,13.82
113,439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,71.7
114,491.0,26.0,123.0,201.0,3.9,822.0,699.0,7,37.92
115,178.0,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
116,149.0,139.0,109.0,193.0,6.0,892.0,780.0,28,23.69
117,339.2,0.0,0.0,185.7,0.0,1069.2,754.3,28,31.9
118,139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.36
119,249.1,0.0,98.8,158.1,12.8,987.8,889.0,56,42.03
120,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56,31.35
121,389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,82.6
122,250.0,0.0,95.7,187.4,5.5,956.9,861.2,56,38.33
123,491.0,26.0,123.0,201.0,3.9,822.0,699.0,3,29.55
124,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56,36.97
125,186.2,124.1,0.0,185.7,0.0,1083.4,764.3,7,8.0
126,425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2
127,212.0,141.3,0.0,203.5,0.0,973.4,750.0,3,6.81
128,154.0,144.0,112.0,220.0,10.0,923.0,658.0,28,16.5
129,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,180,71.62
130,304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,50.95
131,252.0,0.0,0.0,185.0,0.0,1111.0,784.0,28,19.69
132,469.0,117.2,0.0,137.8,32.2,852.1,840.5,28,66.9
133,149.5,236.0,0.0,175.8,12.6,846.8,892.7,28,32.96
134,275.1,0.0,121.4,159.5,9.9,1053.6,777.5,28,51.33
135,157.0,236.0,0.0,192.0,0.0,935.4,781.2,90,43.38
136,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
137,213.5,0.0,174.2,159.2,11.7,1043.6,771.9,28,44.64
138,331.0,0.0,0.0,192.0,0.0,978.0,825.0,360,41.24
139,162.0,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76
140,160.2,188.0,146.4,203.2,11.3,828.7,709.7,28,35.31
141,397.0,17.2,158.0,167.0,20.8,967.0,633.0,28,55.65
142,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,28,31.27
143,212.0,141.3,0.0,203.5,0.0,973.4,750.0,7,15.03
144,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18.0
145,427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84
146,331.0,170.0,0.0,195.0,8.0,811.0,802.0,28,56.61
147,424.0,22.0,132.0,178.0,8.5,822.0,750.0,28,62.05
148,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,7,42.42
149,194.7,0.0,100.5,170.2,7.5,998.0,901.8,14,24.28
150,425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,46.8
151,230.0,0.0,118.3,195.5,4.6,1029.4,758.6,56,31.54
152,222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45
153,251.4,0.0,118.3,188.5,6.4,1028.4,757.7,14,24.43
154,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28,28.47
155,288.0,121.0,0.0,177.0,7.0,908.0,829.0,28,42.13
156,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3,13.36
157,165.0,0.0,143.6,163.8,0.0,1005.6,900.9,56,36.56
158,333.0,0.0,0.0,192.0,0.0,931.2,842.6,7,23.4
159,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2
160,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
161,203.5,305.3,0.0,203.5,0.0,963.4,630.0,3,9.56
162,153.0,102.0,0.0,192.0,0.0,888.0,943.1,7,8.37
163,387.0,20.0,94.0,157.0,14.3,938.0,845.0,3,22.75
164,491.0,26.0,123.0,210.0,3.9,882.0,699.0,56,59.59
165,374.0,0.0,0.0,190.0,7.0,1013.0,730.0,28,39.05
166,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,90,47.22
167,238.1,0.0,94.1,186.7,7.0,949.9,847.0,14,25.69
168,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,180,41.05
169,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,270,55.16
170,145.7,172.6,0.0,181.9,3.4,985.8,816.8,28,23.74
171,155.0,0.0,143.0,193.0,9.0,1047.0,697.0,28,12.46
172,250.0,0.0,95.7,191.8,5.3,948.9,857.2,100,41.16
173,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
174,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,3,26.06
175,192.0,288.0,0.0,192.0,0.0,929.8,716.1,3,12.79
176,277.0,117.0,91.0,191.0,7.0,946.0,666.0,28,43.57
177,491.0,26.0,123.0,201.0,3.9,822.0,699.0,56,61.86
178,304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.26
179,261.9,110.5,86.1,195.4,5.0,895.2,732.6,28,33.72
180,350.0,0.0,0.0,203.0,0.0,974.0,775.0,7,18.13
181,336.5,0.0,0.0,181.9,3.4,985.8,816.8,28,44.87
182,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,270,74.17
183,350.0,0.0,0.0,203.0,0.0,974.0,775.0,14,22.53
184,251.4,0.0,118.3,188.5,6.4,1028.4,757.7,100,44.21
185,317.9,0.0,126.5,209.7,5.7,860.5,736.6,28,40.06
186,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
187,475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,41.93
188,202.0,11.0,141.0,206.0,1.7,942.0,801.0,28,21.97
189,238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7,10.34
190,150.9,0.0,183.9,166.6,11.6,991.2,772.2,28,15.57
191,153.0,145.0,0.0,178.0,8.0,1000.0,822.0,28,19.01
192,289.0,0.0,0.0,192.0,0.0,913.2,895.3,3,11.65
193,405.0,0.0,0.0,175.0,0.0,1120.0,695.0,28,52.3
194,424.0,22.0,132.0,178.0,8.5,822.0,750.0,7,39.0
195,102.0,153.0,0.0,192.0,0.0,887.0,942.0,3,4.57
196,313.0,0.0,0.0,178.0,8.0,1000.0,822.0,28,25.1
197,342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.12
198,310.0,0.0,0.0,192.0,0.0,970.0,850.0,7,14.99
199,266.0,112.0,87.0,178.0,10.0,910.0,745.0,28,39.42
200,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,14,22.32
201,313.0,0.0,113.0,178.0,8.0,1002.0,689.0,28,36.8
202,387.0,20.0,94.0,157.0,14.3,938.0,845.0,28,50.24
203,520.0,0.0,0.0,175.0,5.2,870.0,805.0,28,51.02
204,249.1,0.0,98.8,158.1,12.8,987.8,889.0,28,30.85
205,289.0,0.0,0.0,192.0,0.0,913.2,895.3,90,32.07
206,255.0,0.0,0.0,192.0,0.0,889.8,945.0,7,10.22
207,315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28,81.75
208,304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.38
209,237.0,92.0,71.0,247.0,6.0,853.0,695.0,28,28.63
210,531.3,0.0,0.0,141.8,28.2,852.1,893.7,7,46.9
211,446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,57.03
212,166.0,259.7,0.0,183.2,12.7,858.8,826.8,28,37.92
213,277.1,0.0,97.4,160.6,11.8,973.9,875.6,100,55.64
214,485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,71.99
215,218.9,0.0,124.1,158.5,11.3,1078.7,794.9,3,15.34
216,400.0,0.0,0.0,187.0,0.0,1025.0,745.0,7,30.14
217,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
218,325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7,17.54
219,143.0,169.0,143.0,191.0,8.0,967.0,643.0,28,29.72
220,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9
221,298.2,0.0,107.0,209.7,11.1,879.6,744.2,28,31.88
222,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
223,252.5,0.0,0.0,185.7,0.0,1111.6,784.3,7,11.48
224,250.0,0.0,95.7,191.8,5.3,948.9,857.2,56,39.64
225,254.0,0.0,0.0,198.0,0.0,968.0,863.0,3,9.31
226,522.0,0.0,0.0,146.0,0.0,896.0,896.0,7,50.51
227,277.0,0.0,0.0,191.0,0.0,968.0,856.0,360,33.7
228,382.5,0.0,0.0,185.7,0.0,1047.8,739.3,7,24.07
229,424.0,22.0,132.0,168.0,8.9,822.0,750.0,3,32.11
230,342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,55.06
231,212.0,0.0,124.8,159.0,7.8,1085.4,799.5,3,19.52
232,251.4,0.0,118.3,192.9,5.8,1043.6,754.3,28,33.27
233,427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54
234,323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,28.3
235,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
236,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
237,136.0,196.0,98.0,199.0,6.0,847.0,783.0,28,26.97
238,304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.81
239,424.0,22.0,132.0,178.0,8.5,822.0,750.0,56,65.7
240,236.0,0.0,0.0,193.0,0.0,968.0,885.0,7,9.99
241,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14,20.92
242,141.3,212.0,0.0,203.5,0.0,971.8,748.5,7,10.39
243,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,3,33.8
244,427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01
245,276.0,116.0,90.0,180.0,9.0,870.0,768.0,28,44.28
246,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,28,31.74
247,108.3,162.4,0.0,203.5,0.0,938.2,849.0,7,7.72
248,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3
249,475.0,118.8,0.0,181.1,8.9,852.1,781.5,7,55.6
250,190.3,0.0,125.2,166.6,9.9,1079.0,798.9,100,33.56
251,212.0,0.0,124.8,159.0,7.8,1085.4,799.5,14,31.35
252,165.0,0.0,143.6,163.8,0.0,1005.6,900.9,3,14.4
253,446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,39.3
254,446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,44.42
255,333.0,0.0,0.0,192.0,0.0,931.2,842.6,90,41.68
256,295.8,0.0,0.0,185.7,0.0,1091.4,769.3,28,25.22
257,393.0,0.0,0.0,192.0,0.0,940.0,758.0,3,19.11
258,213.7,0.0,174.7,154.8,10.2,1053.5,776.4,100,50.08
259,389.9,189.0,0.0,145.9,22.0,944.7,755.8,7,59.09
260,380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7
261,178.0,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
262,133.0,200.0,0.0,192.0,0.0,927.4,839.2,7,13.66
263,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,28,24.54
264,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,38.2
265,425.0,106.3,0.0,151.4,18.6,936.0,803.7,91,66.7
266,333.0,0.0,0.0,192.0,0.0,931.2,842.6,28,31.97
267,212.0,141.3,0.0,203.5,0.0,973.4,750.0,90,39.7
268,153.0,102.0,0.0,192.0,0.0,888.0,943.1,90,26.32
269,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28,59.8
270,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12
271,233.8,0.0,94.6,197.9,4.6,947.0,852.2,14,22.14
272,388.6,97.1,0.0,157.9,12.1,852.1,925.7,91,57.6
273,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
274,469.0,117.2,0.0,137.8,32.2,852.1,840.5,7,54.9
275,296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90,29.39
276,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91,66.6
277,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7,47.1
278,218.9,0.0,124.1,158.5,11.3,1078.7,794.9,56,37.27
279,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.07
280,237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,33.12
281,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08
282,160.0,188.0,146.0,203.0,11.0,829.0,710.0,28,32.84
283,380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.82
284,318.8,212.5,0.0,155.7,14.3,852.1,880.4,56,66.1
285,516.0,0.0,0.0,162.0,8.2,801.0,802.0,28,41.37
286,149.0,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52
287,298.0,137.0,107.0,201.0,6.0,878.0,655.0,28,53.52
288,318.8,212.5,0.0,155.7,14.3,852.1,880.4,28,55.5
289,374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,61.09
290,193.5,290.2,0.0,185.7,0.0,998.2,704.3,28,32.63
291,298.1,0.0,107.0,186.4,6.1,879.0,815.2,28,42.64
292,385.0,0.0,136.0,158.0,20.0,903.0,768.0,28,55.55
293,168.0,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75
294,273.0,105.0,82.0,210.0,9.0,904.0,680.0,28,37.17
295,374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.4
296,289.0,0.0,0.0,192.0,0.0,913.2,895.3,7,14.6
297,355.0,19.0,97.0,145.0,12.3,967.0,871.0,28,55.45
298,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,90,39.49
299,316.1,210.7,0.0,185.7,0.0,977.0,689.3,7,24.44
300,148.0,0.0,182.0,181.0,15.0,839.0,884.0,28,15.52
301,376.0,0.0,0.0,214.6,0.0,1003.5,762.4,14,25.62
302,314.0,145.3,113.2,178.9,8.0,869.1,690.2,28,46.23
303,389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,74.5
304,159.0,209.0,161.0,201.0,7.0,848.0,669.0,28,30.88
305,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,14,48.4
306,339.0,0.0,0.0,185.0,0.0,1060.0,754.0,28,31.65
307,203.5,135.7,0.0,185.7,0.0,1076.2,759.3,28,22.63
308,181.9,272.8,0.0,185.7,0.0,1012.4,714.3,28,27.94
309,141.3,212.0,0.0,203.5,0.0,971.8,748.5,28,29.89
310,321.0,164.0,0.0,190.0,5.0,870.0,774.0,28,57.21
311,376.0,0.0,0.0,214.6,0.0,1003.5,762.4,56,36.3
312,250.2,166.8,0.0,203.5,0.0,977.6,694.1,7,19.35
313,277.0,0.0,0.0,191.0,0.0,968.0,856.0,180,32.33
314,305.3,203.5,0.0,203.5,0.0,965.4,631.0,7,25.89
315,154.8,183.4,0.0,193.3,9.1,877.2,867.7,28,23.79
316,272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28,31.38
317,255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7,17.24
318,231.8,0.0,121.6,174.0,6.7,1056.4,778.5,3,15.44
319,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82
320,296.0,0.0,0.0,186.0,0.0,1090.0,769.0,7,18.91
321,164.0,163.0,128.0,197.0,8.0,961.0,641.0,28,27.23
322,236.0,0.0,0.0,194.0,0.0,968.0,885.0,90,21.95
323,339.0,0.0,0.0,197.0,0.0,968.0,781.0,90,35.17
324,277.1,0.0,97.4,160.6,11.8,973.9,875.6,3,23.14
325,491.0,26.0,123.0,210.0,3.9,882.0,699.0,28,55.55
326,190.3,0.0,125.2,166.6,9.9,1079.0,798.9,56,31.72
327,213.5,0.0,174.2,154.6,11.7,1052.3,775.5,3,17.37
328,252.0,0.0,0.0,186.0,0.0,1111.0,784.0,7,11.47
329,359.0,19.0,141.0,154.0,10.9,942.0,801.0,3,23.64
330,355.0,19.0,97.0,145.0,13.1,967.0,871.0,28,44.03
331,355.9,0.0,141.6,193.3,11.0,801.4,778.4,28,40.87
332,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15
333,374.0,189.2,0.0,170.1,10.1,926.1,756.7,56,63.4
334,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
335,266.0,114.0,0.0,228.0,0.0,932.0,670.0,180,48.7
336,259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
337,323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8
338,381.4,0.0,0.0,185.7,0.0,1104.6,784.3,28,22.49
339,531.3,0.0,0.0,141.8,28.2,852.1,893.7,56,58.8
340,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
341,255.3,98.8,77.0,188.6,6.5,919.0,749.3,28,33.8
342,190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,40.86
343,330.5,169.6,0.0,194.9,8.1,811.0,802.3,28,56.62
344,250.2,166.8,0.0,203.5,0.0,977.6,694.1,90,47.71
345,251.4,0.0,118.3,192.9,5.8,1043.6,754.3,14,20.73
346,333.0,0.0,0.0,192.0,0.0,931.2,842.6,3,15.62
347,135.0,105.0,193.0,196.0,6.0,965.0,643.0,28,21.91
348,250.0,0.0,95.7,187.4,5.5,956.9,861.2,14,24.92
349,168.0,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
350,321.0,0.0,128.0,182.0,11.0,870.0,780.0,28,37.26
351,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,100,33.54
352,210.7,316.1,0.0,185.7,0.0,977.0,689.3,28,37.81
353,213.7,0.0,174.7,154.8,10.2,1053.5,776.4,3,17.57
354,540.0,0.0,0.0,173.0,0.0,1125.0,613.0,14,59.76
355,331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,16.26
356,350.0,0.0,0.0,203.0,0.0,974.0,775.0,56,29.98
357,475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28,57.23
358,236.0,157.0,0.0,192.0,0.0,972.6,749.1,28,32.88
359,252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28,19.77
360,393.0,0.0,0.0,192.0,0.0,940.0,758.0,90,48.79
361,380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45
362,250.2,166.8,0.0,203.5,0.0,977.6,694.1,28,36.96
363,310.0,0.0,0.0,192.0,0.0,970.0,850.0,180,37.33
364,153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
365,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
366,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,28,32.72
367,309.9,142.8,111.2,167.8,22.1,913.9,651.2,28,38.22
368,190.3,0.0,125.2,166.6,9.9,1079.0,798.9,14,19.42
369,500.1,0.0,0.0,200.0,3.0,1124.4,613.2,28,44.13
370,297.2,0.0,117.5,174.8,9.5,1022.8,753.5,14,36.99
371,277.1,0.0,97.4,160.6,11.8,973.9,875.6,28,48.28
372,222.4,0.0,96.7,189.3,4.5,967.1,870.3,3,11.58
373,157.0,236.0,0.0,192.0,0.0,935.4,781.2,3,9.69
374,375.0,93.8,0.0,126.6,23.4,852.1,992.6,7,45.7
375,202.0,11.0,141.0,206.0,1.7,942.0,801.0,3,9.85
376,469.0,117.2,0.0,137.8,32.2,852.1,840.5,56,69.3
377,446.0,24.0,79.0,162.0,10.3,967.0,712.0,56,54.77
378,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7,38.0
379,165.0,0.0,143.6,163.8,0.0,1005.6,900.9,28,26.2
380,349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05
381,275.0,0.0,0.0,183.0,0.0,1088.0,808.0,7,14.2
